FEMA No. and Substance,Beverages (ppm),Density
2128 BENZALDEHYDE DIMETHYL ACETAL,26,1.02
2129 BENZALDEHYDE GLYCERYL ACETAL,21,1.193
2130 BENZALDEHYDE PROPYLENE GLYCOL ACETAL,34,1.071
2131 BENZOIC ACID—Benzenecarboxylic acid,7.5,1.27
2132 BENZOIN—2-Hydroxy-2-phenylacetophenone,4.5,1.31
"2133 BENZOIN, RESIN [Styrax benzoin Dryander]",15,1
2134 BENZOPHENONE—Diphenyl ketone,0.5,1.11
2135 BENZYL ACETATE,7.8,1.056
2136 BENZYL ACETOACETATE,2.7,1.112
2137 BENZYL ALCOHOL—Phenyl carbinol,15,1.047
2138 BENZYL BENZOATE,4.5,1.12
2139 BENZYL BUTYL ETHER,2,0.933
2140 BENZYL BUTYRATE,4.5,1.014
2141 BENZYL iso-BUTYRATE,5.2,1.005
2142 BENZYL CINNAMATE,1.4,1.115
"2143 BENZYL 2,3-DIMETHYLCROTONATE",0.75,1.023
2144 BENZYL ETHYL ETHER,1,0.95
2145 BENZYL FORMATE,2.4,1.09
2146 3-BENZYL-4-HEPTANONE,1.2,0.037
2147 BENZYL MERCAPTAN—a-Toluenethiol,0.25,1.059
2148 BENZYL METHOXYETHYL ACETAL,0.5,1.025
2149 BENZYL PHENYLACETATE,1.3,1.099
2150 BENZYL PROPIONATE,4.1,1.036
2151 BENZYL SALICYLATE,1.4,1.18
2152 BENZYL iso-VALERATE,2.2,0.989
"2153 *BERGAMOT, OIL [Citrus aurantium L.]",8.9,0.88
"2154 BIRCH, SWEET, OIL [Betula lenta L.]",48,1.19
"2155 BLACKBERRY BARK, EXTRACT",81,1
"2156 *BOIS DE ROSE, OIL—Aniba rosaeodora Ducke",0.65,0.887
2157 BORNEOL—Bornyl alcohol,1.4,1.011
2158 iso-BORNEOL,6.2,1
2159 BORNYL ACETATE,1.1,0.984
2160 iso-BORNYL ACETATE,9.6,0.988
2161 BORNYL FORMATE,3.7,1.015
2162 iso-BORNYL FORMATE,1,1.01
2163 iso-BORNYL PROPIONATE,1,0.978
2164 BORNYL VALERATE,1,0.955
2165 BORNYL iso-VALERATE,1,0.955
2166 iso-BORNYL iso-VALERATE,1,0.956
"2167 BORONIA, ABSOLUTE",4.3,1
2168 BROMINATED VEGETABLE OILS,170,1.34
"2169 BUCHU LEAVES, OIL",1.9,0.93
2170 2-BUTANONE—Methyl ethyl ketone,70,0.801
2171 BUTTER ACIDS,2,1
2172 BUTTER ESTERS,-,1
2173 BUTTER STARTER DISTILLATE,-,1
2174 BUTYL ACETATE,11,0.88
2175 iso-BUTYL ACETATE,11,0.871
2176 BUTYL ACETOACETATE,4.2,0.965
2177 iso-BUTYL ACETOACETATE,4,0.96
